category,method,runtime_s,auroc_img,auroc_pix_e2e,n_masked
bottle,dino_max,39.22007751464844,0.946031746031746,0.9837489778310913,63
cable,dino_max,70.45853900909424,0.8746251874062968,0.9489224051900619,92
capsule,dino_max,62.24064898490906,0.7742321499800559,0.9679745570552247,109
carpet,dino_max,53.422016620635986,0.804975922953451,0.9848809276006585,89
grid,dino_max,35.95851135253906,0.9883040935672514,0.9931404679281509,57
hazelnut,dino_max,50.550437688827515,0.8746428571428572,0.991372349903992,70
leather,dino_max,56.856653451919556,0.9391983695652174,0.9892071998212391,92
metal_nut,dino_max,50.4085898399353,0.9227761485826002,0.9546416657878574,93
pill,dino_max,73.54312992095947,0.8161483906164757,0.8737203556713243,141
screw,dino_max,70.31767320632935,0.6423447427751587,0.9550177581942121,119
tile,dino_max,53.57215332984924,0.8823953823953824,0.9476365729562309,84
toothbrush,dino_max,21.27709984779358,0.888888888888889,0.9889626240271805,30
transistor,dino_max,46.035521268844604,0.79625,0.8766902534926941,40
wood,dino_max,37.21659588813782,0.8280701754385965,0.9492964074598156,60
zipper,dino_max,65.00382900238037,0.8529411764705882,0.9362667856678516,119
